date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,0.726,0.717,0.738,0.717,1810901,131744551.0,2.91,-0.69,-0.005,1.92
2024-01-03,0.715,0.725,0.733,0.705,1733385,125265743.0,3.91,1.12,0.008,1.84
2024-01-04,0.721,0.718,0.722,0.706,1532639,109424737.0,2.21,-0.97,-0.007,1.62
2024-01-05,0.714,0.7,0.716,0.697,1212795,85824401.0,2.65,-2.51,-0.018,1.29
2024-01-08,0.701,0.692,0.704,0.692,1239421,86501756.0,1.71,-1.14,-0.008,1.31
2024-01-09,0.695,0.692,0.702,0.685,1288625,89218591.0,2.46,0.0,0.0,1.37
2024-01-10,0.685,0.673,0.69,0.673,1189997,80665210.0,2.46,-2.75,-0.019,1.26
2024-01-11,0.673,0.696,0.698,0.672,1230003,84462765.0,3.86,3.42,0.023,1.3
2024-01-12,0.691,0.681,0.696,0.68,1053524,72325465.0,2.3,-2.16,-0.015,1.12
2024-01-15,0.679,0.682,0.69,0.675,1141594,77994686.0,2.2,0.15,0.001,1.21
2024-01-16,0.678,0.676,0.681,0.666,1100171,73930643.0,2.2,-0.88,-0.006,1.17
2024-01-17,0.674,0.658,0.676,0.658,1130542,75823497.0,2.66,-2.66,-0.018,1.2
2024-01-18,0.656,0.671,0.673,0.645,1506502,98808107.0,4.26,1.98,0.013,1.6
2024-01-19,0.668,0.676,0.688,0.667,1530311,104056658.0,3.13,0.75,0.005,1.62
2024-01-22,0.674,0.638,0.677,0.627,1931844,125646452.0,7.4,-5.62,-0.038,2.05
2024-01-23,0.63,0.658,0.665,0.626,1680690,108926009.0,6.11,3.13,0.02,1.78
2024-01-24,0.66,0.668,0.669,0.645,1521960,99969791.0,3.65,1.52,0.01,1.61
2024-01-25,0.667,0.69,0.691,0.657,2046971,138418511.0,5.09,3.29,0.022,2.17
2024-01-26,0.69,0.682,0.704,0.678,2193292,151296564.0,3.77,-1.16,-0.008,2.33
2024-01-29,0.681,0.667,0.686,0.663,1913500,128363555.0,3.37,-2.2,-0.015,2.03
2024-01-30,0.663,0.644,0.666,0.642,1413576,92791231.0,3.6,-3.45,-0.023,1.5
2024-01-31,0.64,0.624,0.654,0.623,2316389,148450937.0,4.81,-3.11,-0.02,2.46
2024-02-01,0.615,0.624,0.64,0.606,2524601,157294807.0,5.45,0.0,0.0,2.68
2024-02-02,0.624,0.616,0.646,0.595,2136950,133474341.0,8.17,-1.28,-0.008,2.27
2024-02-05,0.607,0.58,0.607,0.564,2975671,174690808.0,6.98,-5.84,-0.036,3.15
2024-02-06,0.569,0.621,0.626,0.564,1987045,118114318.0,10.69,7.07,0.041,2.11
2024-02-07,0.617,0.637,0.645,0.616,1498400,95146251.0,4.67,2.58,0.016,1.59
2024-02-08,0.639,0.656,0.664,0.638,1148013,75169152.0,4.08,2.98,0.019,1.22
2024-02-19,0.696,0.694,0.697,0.671,3031721,207233662.0,3.96,5.79,0.038,3.21
2024-02-20,0.69,0.692,0.701,0.678,1916220,132740566.0,3.31,-0.29,-0.002,2.03
2024-02-21,0.682,0.691,0.71,0.678,1913989,133040863.0,4.62,-0.14,-0.001,2.03
2024-02-22,0.694,0.703,0.707,0.69,1460837,102032883.0,2.46,1.74,0.012,1.55
2024-02-23,0.702,0.72,0.721,0.694,1865273,132357116.0,3.84,2.42,0.017,1.98
2024-02-26,0.713,0.71,0.721,0.703,1400337,99462044.0,2.5,-1.39,-0.01,1.48
2024-02-27,0.706,0.739,0.74,0.705,2014829,146273656.0,4.93,4.08,0.029,2.14
2024-02-28,0.739,0.706,0.756,0.704,3685289,271962470.0,7.04,-4.47,-0.033,3.91
2024-02-29,0.7,0.733,0.735,0.695,2042733,147357459.0,5.67,3.82,0.027,2.17
2024-03-01,0.733,0.745,0.749,0.727,1705879,125764978.0,3.0,1.64,0.012,1.81
2024-03-04,0.745,0.755,0.758,0.731,1854905,137946039.0,3.62,1.34,0.01,1.97
2024-03-05,0.748,0.745,0.759,0.738,1172289,87667983.0,2.78,-1.32,-0.01,1.24
2024-03-06,0.736,0.735,0.749,0.731,1142445,84404345.0,2.42,-1.34,-0.01,1.21
2024-03-07,0.736,0.714,0.745,0.713,1679806,121603043.0,4.35,-2.86,-0.021,1.78
2024-03-08,0.714,0.728,0.73,0.712,1193649,85930003.0,2.52,1.96,0.014,1.27
2024-03-11,0.725,0.74,0.741,0.72,2151377,156958982.0,2.88,1.65,0.012,2.28
2024-03-12,0.738,0.744,0.751,0.738,1214586,90470336.0,1.76,0.54,0.004,1.29
2024-03-13,0.747,0.768,0.773,0.743,2804077,212890296.0,4.03,3.23,0.024,2.97
2024-03-14,0.759,0.747,0.759,0.735,1741112,129804358.0,3.13,-2.73,-0.021,1.85
2024-03-15,0.743,0.748,0.749,0.734,1368806,101404979.0,2.01,0.13,0.001,1.45
